"8/13/2015","2.2","","","152",""
"8/16/2015","2","","","",""
"8/16/2015","0.5","","","153",""
"8/21/2015","3","","","","27:35:00"
"8/23/2015","2","","","153",""
"8/26/2015","2","","","152",""
"8/30/2015","1","","","",""
"8/30/2015","1","","","153",""
"9/4/2015","1","","","",""
"9/4/2015","0.3","","","151",""
"9/6/2015","3","","","","26:40:00"
"9/12/2015","1","","","","7:16"
"9/20/2015","7","","","",""
"9/26/2015","8","","","151",""
"10/4/2015","4.3","","","151","40:00:00"
"10/12/2015","3","","","152","27:23:00"
"10/18/2015","3.4","","","","29:00:00"
"10/18/2015","3.4","","","",""
"11/28/2015","2.3","","","148","22:00"
"12/6/2015","3","","","149","28:40:00"
"1/23/2016","3","","","154","28:00:00"
"2/7/2016","3","","","153","29:25:00"
"2/14/2016","3","","","153","29:17:00"
"2/17/2016","3","","","153","28:41:00"
"3/26/2016","3","","","155","28:36:00"
"4/11/2016","4.25","","","155","45:45:00"
"4/15/2016","5.46","","","155","60:00:00"
"4/20/2016","5.89","","","154","60:00:00"
"5/4/2016","5.41","","","154","60:00:00"
"5/9/2016","5.9","","","154","60:00:00"
"5/12/2016","3","","","154","28:00:00"
"5/16/2016","6.03","","","153","60:00:00"
"5/19/2016","3","","","154","27:32:00"
"5/23/2016","3","","","153","26:45:00"
"5/26/2016","6.21","","","152","60:00:00"
"5/31/2016","3","","","152","28:11:00"
"6/3/2016","3","","","153","28:02:00"
"6/8/2016","6.3","","","153","60:00:00"
"6/14/2016","3","","","155","25:06:00"
"7/16/2016","3","","","156","28:41:00"
"7/20/2016","4.81","","","155","60:00:00"
"7/28/2016","4.6","","","153","45:20:00"
"8/1/2016","5.2","","","154","50:11:00"
"8/7/2016","6.12","","","155","60:00:00"
"8/13/2016","3","","","154","27:15:00"
"8/19/2016","3","","","","26:48:00"
"8/21/2016","10","","","",""
"8/24/2016","7.5","","","153",""
"8/28/2016","8.3","","","153",""
"9/1/2016","9.5","","","153",""
"9/2/2016","2","","","",""
"9/4/2016","2","","","",""
"9/5/2016","2","","","",""
"9/9/2016","2","","","",""
"9/10/2016","2","","","",""
"9/11/2016","4","","","",""
"9/12/2016","2","","","",""
"9/15/2016","5.9","","","153",""
"9/16/2016","2","","","",""
"9/17/2016","0","","","",""
"9/18/2016","6.12","","","153",""
"9/19/2016","2","","","",""
"9/22/2016","2","","","",""
"9/23/2016","6.15","","","153",""
"9/25/2016","2","","","",""
"9/26/2016","2","","","",""
"9/28/2016","4.25","","","152",""
"10/2/2016","2","","","",""
"10/5/2016","6.29","","","152",""
"10/8/2016","2","","","",""
"10/12/2016","2","","","",""
"10/13/2016","3.13","","","154",""
"10/16/2016","6.2","","","",""
"10/19/2016","2","","","",""
"10/24/2016","3","","","151",""
"10/27/2016","3","","","151",""
"10/31/2016","3","","","151",""
"11/4/2016","3","","","150",""
"11/7/2016","3","","","150",""
"11/9/2016","2","","","",""
"11/12/2016","3","","","150",""
"11/20/2016","2","","","",""
"11/24/2016","3","","","152",""
"11/28/2016","","","","",""
"12/21/2016","3","","","151",""
"12/30/2016","3.4","","","151",""
"12/30/2016","0.08","","","",""
"1/4/2017","3"," "," ","151","28:05:00"
"1/6/2017","3"," "," ","151","28:06:00"
"1/9/2017","3.8","","","151","35:00:00"
"1/12/2017","3.82","","","151","35:00:00"
"1/19/2017","3","","","151","28:06:00"
"1/23/2017","3","","","149","28:06:00"
"1/26/2017","3","","","149","28:00:00"
"1/28/2017","3","","","150","28:01:00"
"1/28/2017","1.5","","","150","15:00:00"
"2/3/2017","3","","","149","28:06:00"
"2/3/2017","2.02","","","149","2:00:00"
"2/12/2017","3.23","","","150","30:00:00"
"2/12/2017","2.56","","","150","30:00:00"
"2/17/2017","3","","","151","28:04:00"
"2/24/2017","3.22","","","151","30:00:00"
"2/26/2017","3.24","","","150","30:00:00"
"2/26/2017","3","","","150","28:22:00"
"3/3/2017","3","","","149","27:25:00"
"3/10/2017","3.68","","","149","33:00:00"
"3/13/2017","3.3","","","148","30:00:00"
"3/17/2017","3.25","","","149","30:13:00"
"3/17/2017","3.25","","","149","33:48:00"
"3/20/2017","3","","","150","27:00:00"
"3/27/2017","3.53","","","149","32:30:00"
"3/27/2017","2.5","","","149","27:30:00"
"3/30/2017","3","","","149","26:42:00"
"4/2/2017","3","","","148","26:38:00"
"4/15/2017","2.54","","","149","23:00"
"4/17/2017","3","","","150","26:40:00"
"4/21/2017","3","","","149","26:25:00"
"4/24/2017","3","","","150","28:16:00"
"4/30/2017","4.51","","","150","42:40:00"
"5/3/2017","3","","","149","27:10:00"
"5/6/2017","3","","","149","27:42:00"
"5/14/2017","3","","","150","27:32:00"
"5/26/2017","3","","","149","27:45:00"
"5/29/2017","3","","","150","27:45:00"
